Favorite Programming Language,Count of Takers,Job Title
Python,255,Data Analyst
R,61,Data Analyst
Other,60,Data Analyst
Python,56,Student/Looking/None
Python,54,Other
Python,29,Data Engineer
Python,20,Data Scientist
R,19,Student/Looking/None
R,15,Other
Other,14,Other
Other,13,Student/Looking/None
C/C++,5,Data Analyst
Other,5,Data Engineer
R,4,Data Scientist
Python,3,Data Architect
Python,3,Database Developer
C/C++,2,Other
JavaScript,2,Data Engineer
JavaScript,2,Other
JavaScript,2,Student/Looking/None
Other,2,Database Developer
R,2,Data Engineer
Java,1,Other
Other,1,Data Scientist
